TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-25,2026-06-25,FO,NSE,STO,47103,,MOTILALOFS,,2026-06-30,2026-06-30,900.00,CE,MOTILALOFS26JUN900CE,41.10,54.50,38.80,42.85,45.95,39.35,946.10,42.85,200725,-19375,73,53480928.75,69,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,121812,,MOTILALOFS,,2026-06-30,2026-06-30,930.00,CE,MOTILALOFS26JUN930CE,16.00,23.20,13.00,15.30,14.75,15.60,946.10,15.30,48825,-10075,43,31571562.50,37,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,121829,,MOTILALOFS,,2026-06-30,2026-06-30,1020.00,CE,MOTILALOFS26JUN1020CE,0.90,1.20,0.70,0.95,1.00,0.95,946.10,0.95,55800,6975,34,26899668.75,32,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,121914,,MOTILALOFS,,2026-06-30,2026-06-30,1060.00,PE,MOTILALOFS26JUN1060PE,109.00,111.35,109.00,111.35,111.35,123.20,946.10,113.85,0,-3100,4,3625721.25,2,F1,775,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,142594,,SWIGGY,,2026-06-30,2026-06-30,275.00,PE,SWIGGY26JUN275PE,32.00,32.00,32.00,32.00,32.00,35.30,240.75,34.05,52000,-1300,1,399100.00,1,F1,1300,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,142667,,SWIGGY,,2026-07-28,2026-07-28,250.00,PE,SWIGGY26JUL250PE,17.95,18.30,13.70,16.00,16.65,15.65,240.75,16.00,531075,160600,218,105408350.00,196,F1,1825,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,147393,,SWIGGY,,2026-07-28,2026-07-28,245.00,PE,SWIGGY26JUL245PE,13.75,14.80,11.20,13.00,13.60,12.85,240.75,13.00,107675,-89425,157,74050287.50,73,F1,1825,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,147716,,SWIGGY,,2026-08-25,2026-08-25,250.00,CE,SWIGGY26AUG250CE,0.00,0.00,0.00,26.35,26.35,26.35,240.75,15.10,1825,0,0,0.00,0,F1,1825,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,142672,,SWIGGY,,2026-07-28,2026-07-28,280.00,CE,SWIGGY26JUL280CE,2.05,2.75,1.90,2.00,1.90,2.40,240.75,2.00,1208150,31025,163,83962045.00,133,F1,1825,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,147721,,SWIGGY,,2026-08-25,2026-08-25,270.00,PE,SWIGGY26AUG270PE,0.00,0.00,0.00,29.80,0.00,29.80,240.75,34.85,0,0,0,0.00,0,F1,1825,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,147661,,SWIGGY,,2026-07-28,2026-07-28,295.00,PE,SWIGGY26JUL295PE,0.00,0.00,0.00,44.80,0.00,44.80,240.75,53.75,0,0,0,0.00,0,F1,1825,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,147383,,SWIGGY,,2026-07-28,2026-07-28,235.00,PE,SWIGGY26JUL235PE,7.25,8.05,7.20,8.05,8.05,7.00,240.75,8.05,7300,0,4,1771162.50,4,F1,1825,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,147604,,SWIGGY,,2026-07-28,2026-07-28,275.00,PE,SWIGGY26JUL275PE,0.00,0.00,0.00,30.05,0.00,30.05,240.75,36.00,0,0,0,0.00,0,F1,1825,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,147371,,SWIGGY,,2026-07-28,2026-07-28,215.00,CE,SWIGGY26JUL215CE,0.00,0.00,0.00,45.15,0.00,45.15,240.75,30.35,0,0,0,0.00,0,F1,1825,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,174529,,SWIGGY,,2026-06-30,2026-06-30,310.00,PE,SWIGGY26JUN310PE,66.00,67.20,66.00,67.20,67.20,57.40,240.75,69.00,23400,-5200,4,1956760.00,2,F1,1300,,,,,
